,ID,Position,FullName,Link,FirstName,LastName,PrimaryNumber,BirthDate,BirthCity,BirthProvState,BirthCountry,Nationality,Height,Weight,Active,Rookie,RosterStatus
0,8444919,D,Tommy Albelin,/api/v1/people/8444919,Tommy,Albelin,6,1964-05-21,Stockholm,,SWE,SWE,"6' 2""",195,False,False,Y
1,8449654,R,Alexander Mogilny,/api/v1/people/8449654,Alexander,Mogilny,89,1969-02-18,Khabarovsk,,RUS,RUS,"6' 0""",210,False,False,N
2,8456850,D,Ken Klee,/api/v1/people/8456850,Ken,Klee,2,1971-04-24,Indianapolis,IN,USA,USA,"6' 1""",210,False,False,Y
3,8457191,D,Vladimir Malakhov,/api/v1/people/8457191,Vladimir,Malakhov,2,1968-08-30,Sverdlovskurg,,RUS,RUS,"6' 4""",230,False,False,N
4,8458522,D,Richard Matvichuk,/api/v1/people/8458522,Richard,Matvichuk,24,1973-02-05,Edmonton,AB,CAN,CAN,"6' 3""",210,False,False,N
5,8458959,R,Grant Marshall,/api/v1/people/8458959,Grant,Marshall,49,1973-06-09,Mississauga,ON,CAN,CAN,"6' 1""",200,False,False,N
6,8458978,L,Sergei Brylin,/api/v1/people/8458978,Sergei,Brylin,18,1974-01-13,Moscow,,RUS,RUS,"5' 10""",190,False,False,Y
7,8459174,D,Dan McGillis,/api/v1/people/8459174,Dan,McGillis,2,1972-07-01,Hawkesbury,ON,CAN,CAN,"6' 3""",220,False,False,N
8,8459223,C,Pascal Rheaume,/api/v1/people/8459223,Pascal,Rheaume,22,1973-06-21,Quebec City,QC,CAN,CAN,"6' 1""",210,False,False,N
9,8459391,L,Darren Langdon,/api/v1/people/8459391,Darren,Langdon,17,1971-01-08,Deer Lake,NL,CAN,CAN,"6' 1""",205,False,False,Y
10,8459428,C,Viktor Kozlov,/api/v1/people/8459428,Viktor,Kozlov,25,1975-02-14,Togliatti,,RUS,RUS,"6' 4""",232,False,False,Y
11,8459454,L,Jay Pandolfo,/api/v1/people/8459454,Jay,Pandolfo,29,1974-12-27,Winchester,MA,USA,USA,"6' 1""",190,False,False,Y
