,ID,FullName,PosAbbreviation,Link,Unnamed: 4
0,8444919,Tommy Albelin,D,/api/v1/people/8444919,
1,8449654,Alexander Mogilny,RW,/api/v1/people/8449654,
2,8456850,Ken Klee,D,/api/v1/people/8456850,
3,8457191,Vladimir Malakhov,D,/api/v1/people/8457191,
4,8458522,Richard Matvichuk,D,/api/v1/people/8458522,
5,8458959,Grant Marshall,RW,/api/v1/people/8458959,
6,8458978,Sergei Brylin,LW,/api/v1/people/8458978,
7,8459174,Dan McGillis,D,/api/v1/people/8459174,
8,8459223,Pascal Rheaume,C,/api/v1/people/8459223,
9,8459391,Darren Langdon,LW,/api/v1/people/8459391,
10,8459428,Viktor Kozlov,C,/api/v1/people/8459428,
11,8459454,Jay Pandolfo,LW,/api/v1/people/8459454,
12,8459457,Jamie Langenbrunner,RW,/api/v1/people/8459457,
13,8459486,Krzysztof Oliwa,LW,/api/v1/people/8459486,
14,8460498,Jason Wiemer,C,/api/v1/people/8460498,
15,8460542,Patrik Elias,C,/api/v1/people/8460542,
16,8460580,Brad Lukowich,D,/api/v1/people/8460580,
17,8462051,Sean Brown,D,/api/v1/people/8462051,
18,8464968,Erik Rasmussen,C,/api/v1/people/8464968,
19,8465005,Colin White,D,/api/v1/people/8465005,
20,8466371,John Madden,C,/api/v1/people/8466371,
21,8467351,Scott Gomez,C,/api/v1/people/8467351,
22,8467407,Brian Gionta,RW,/api/v1/people/8467407,
23,8467856,Brian Rafalski,D,/api/v1/people/8467856,
24,8468502,David Hale,D,/api/v1/people/8468502,
25,8468536,Aleksander Suglobov,RW,/api/v1/people/8468536,
26,8468542,Paul Martin,D,/api/v1/people/8468542,
27,8469499,Tuomas Pihlman,LW,/api/v1/people/8469499,
28,8470075,Jason Ryznar,LW,/api/v1/people/8470075,
29,8470123,Cam Janssen,RW,/api/v1/people/8470123,
30,8470199,Barry Tallackson,RW,/api/v1/people/8470199,
31,8470610,Zach Parise,LW,/api/v1/people/8470610,
32,8455710,Martin Brodeur,G,/api/v1/people/8455710,
33,8466339,Scott Clemmensen,G,/api/v1/people/8466339,
34,8458595,Alexei Zhitnik,D,/api/v1/people/8458595,
35,8458939,Alexei Yashin,C,/api/v1/people/8458939,
36,8459065,Joel Bouchard,D,/api/v1/people/8459065,
37,8459458,Janne Niinimaa,D,/api/v1/people/8459458,
38,8459527,Shawn Bates,C,/api/v1/people/8459527,
39,8459534,Miroslav Satan,RW,/api/v1/people/8459534,
41,8462176,Brent Sopel,D,/api/v1/people/8462176,
42,8465018,Oleg Kvasha,C,/api/v1/people/8465018,
43,8465025,Arron Asham,RW,/api/v1/people/8465025,
44,8465026,Mark Parrish,RW,/api/v1/people/8465026,
45,8466266,Mike York,LW,/api/v1/people/8466266,
46,8466357,Wyatt Smith,C,/api/v1/people/8466357,
47,8467365,John Erskine,D,/api/v1/people/8467365,
48,8467466,Trent Hunter,RW,/api/v1/people/8467466,
49,8467469,Allan Rourke,D,/api/v1/people/8467469,
50,8467844,Jason Blake,LW,/api/v1/people/8467844,
51,8467951,Mattias Weinhandl,RW,/api/v1/people/8467951,
52,8468101,Radek Martinek,D,/api/v1/people/8468101,
53,8468153,Kevin Colley,RW,/api/v1/people/8468153,
54,8468252,Eric Godard,RW,/api/v1/people/8468252,
55,8468634,Matt Koalska,C,/api/v1/people/8468634,
56,8468682,Ryan Caldwell,D,/api/v1/people/8468682,
57,8468747,Tomi Pettinen,D,/api/v1/people/8468747,
58,8469588,Cole Jarrett,LW,/api/v1/people/8469588,
59,8469994,Rob Collins,RW,/api/v1/people/8469994,
60,8470176,Sean Bergenheim,LW,/api/v1/people/8470176,
61,8470268,Denis Grebeshkov,D,/api/v1/people/8470268,
62,8470329,Chris Campoli,D,/api/v1/people/8470329,
63,8470373,Jeff Hamilton,C,/api/v1/people/8470373,
64,8470608,Robert Nilsson,C,/api/v1/people/8470608,
65,8470620,Jeff Tambellini,LW,/api/v1/people/8470620,
66,8470651,Jeremy Colliton,C,/api/v1/people/8470651,
67,8470659,Masi Marjamaki,LW,/api/v1/people/8470659,
68,8470774,Bruno Gervais,D,/api/v1/people/8470774,
69,8471229,Petteri Nokelainen,C,/api/v1/people/8471229,
70,8471360,Steve Regier,LW,/api/v1/people/8471360,
71,8458075,Garth Snow,G,/api/v1/people/8458075,
72,8468481,Rick DiPietro,G,/api/v1/people/8468481,
73,8470584,Wade Dubielewicz,G,/api/v1/people/8470584,
74,8448208,Jaromir Jagr,RW,/api/v1/people/8448208,
75,8458534,Martin Rucinsky,LW,/api/v1/people/8458534,
76,8458544,Sandis Ozolinsh,D,/api/v1/people/8458544,
77,8458573,Michael Nylander,C,/api/v1/people/8458573,
78,8458942,Darius Kasparaitis,D,/api/v1/people/8458942,
79,8458955,Martin Straka,C,/api/v1/people/8458955,
