,ID,Season,Position,FullName,TOI,OT,SO,W,L,Saves,PPSaves,SHSaves,EVSaves,SHShots,EVShots,PPShots,SvPct,GAA,G,GS,ShotsAgainst,GoalsAgainst,TOIperGame,PPSvPct,SHSvPct,EVSvPct
0,8455710,20052006,G,Martin Brodeur,4364:35,7.0,5.0,43.0,23.0,1918.0,364.0,60.0,1493.0,65.0,1620.0,419.0,0.911164,2.5706919999999998,73.0,73.0,2105.0,187.0,59:47,86.87350835322195,92.30769230769229,92.1604938271605
1,8466339,20052006,G,Scott Clemmensen,626:31,2.0,0.0,3.0,4.0,260.0,51.0,13.0,197.0,14.0,223.0,59.0,0.8813559999999999,3.3518660000000002,13.0,9.0,295.0,35.0,48:11,86.4406779661017,92.85714285714286,88.34080717488789
2,8458075,20052006,G,Garth Snow,1096:05,1.0,0.0,4.0,13.0,527.0,135.0,23.0,370.0,27.0,410.0,158.0,0.8857139999999999,3.722345,20.0,16.0,595.0,68.0,54:48,85.44303797468355,85.18518518518519,90.24390243902441
3,8468481,20052006,G,Rick DiPietro,3571:35,5.0,1.0,30.0,24.0,1617.0,369.0,62.0,1187.0,67.0,1293.0,437.0,0.899833,3.023869,63.0,62.0,1797.0,180.0,56:41,84.43935926773455,92.5373134328358,91.80201082753288
4,8470584,20052006,G,Wade Dubielewicz,310:20,0.0,0.0,2.0,3.0,130.0,30.0,3.0,97.0,4.0,105.0,36.0,0.896552,2.9001069999999998,7.0,4.0,145.0,15.0,44:20,83.33333333333334,75.0,92.38095238095238
5,8459463,20052006,G,Kevin Weekes,1850:07,3.0,0.0,14.0,14.0,776.0,203.0,38.0,536.0,41.0,584.0,242.0,0.89504,2.951165,32.0,32.0,867.0,91.0,57:48,83.88429752066115,92.6829268292683,91.78082191780823
6,8468685,20052006,G,Henrik Lundqvist,3111:53,9.0,2.0,30.0,12.0,1369.0,356.0,45.0,927.0,50.0,998.0,396.0,0.9218860000000001,2.2365880000000002,53.0,50.0,1485.0,116.0,58:42,89.89898989898991,90.0,92.88577154308615
7,8465093,20052006,G,Robert Esche,2286:24,5.0,1.0,22.0,11.0,986.0,245.0,49.0,692.0,49.0,757.0,293.0,0.8971790000000001,2.96536,40.0,40.0,1099.0,113.0,57:09,83.61774744027305,100.0,91.41347424042273
8,8467511,20052006,G,Antero Niittymaki,2690:05,6.0,2.0,23.0,15.0,1133.0,279.0,48.0,806.0,53.0,886.0,327.0,0.8949450000000001,2.9664509999999997,46.0,42.0,1266.0,133.0,58:28,85.3211009174312,90.56603773584905,90.9706546275395
9,8459432,20052006,G,Jocelyn Thibault,806:42,3.0,0.0,1.0,9.0,424.0,98.0,28.0,298.0,30.0,336.0,118.0,0.876033,4.462626,16.0,13.0,484.0,60.0,50:25,83.0508474576271,93.33333333333331,88.69047619047619
10,8467959,20052006,G,Sebastien Caron,1312:18,5.0,1.0,8.0,9.0,646.0,183.0,30.0,433.0,37.0,479.0,217.0,0.88131,3.9777489999999998,26.0,23.0,733.0,87.0,50:28,84.33179723502305,81.08108108108108,90.39665970772442
11,8470594,20052006,G,Marc-Andre Fleury,2809:13,6.0,1.0,13.0,27.0,1333.0,329.0,67.0,938.0,73.0,1026.0,386.0,0.8976430000000001,3.246457,50.0,45.0,1485.0,152.0,56:11,85.23316062176166,91.78082191780823,91.42300194931774
12,8460703,20052006,G,Tim Thomas,2186:37,10.0,1.0,12.0,13.0,1112.0,232.0,35.0,845.0,38.0,914.0,261.0,0.9167350000000001,2.771405,38.0,35.0,1213.0,101.0,57:32,88.8888888888889,92.10526315789473,92.4507658643326
13,8467453,20052006,G,Andrew Raycroft,1618:33,2.0,0.0,8.0,19.0,724.0,146.0,41.0,539.0,46.0,600.0,178.0,0.878641,3.7070220000000003,30.0,28.0,824.0,100.0,53:57,82.02247191011236,89.13043478260867,89.83333333333331
14,8470084,20052006,G,Hannu Toivonen,1162:37,4.0,1.0,9.0,5.0,539.0,152.0,26.0,361.0,27.0,394.0,169.0,0.913559,2.6319939999999997,20.0,19.0,590.0,51.0,58:07,89.94082840236686,96.29629629629628,91.6243654822335
15,8462047,20052006,G,Martin Biron,1934:11,3.0,1.0,21.0,8.0,887.0,198.0,41.0,629.0,47.0,687.0,225.0,0.9051020000000001,2.884939,35.0,31.0,980.0,93.0,55:15,88.0,87.23404255319151,91.55749636098982
16,8466156,20052006,G,Mika Noronen,338:47,0.0,0.0,2.0,3.0,132.0,33.0,10.0,89.0,11.0,109.0,34.0,0.857143,3.896296,8.0,5.0,154.0,22.0,42:20,97.05882352941177,90.9090909090909,81.65137614678899
17,8468011,20052006,G,Ryan Miller,2861:50,3.0,1.0,30.0,14.0,1316.0,276.0,77.0,963.0,85.0,1048.0,307.0,0.913889,2.599732,48.0,48.0,1440.0,124.0,59:37,89.90228013029316,90.58823529411764,91.88931297709922
18,8460535,20052006,G,Jose Theodore,2410:16,6.0,0.0,18.0,18.0,1021.0,245.0,46.0,709.0,51.0,794.0,292.0,0.8816930000000001,3.410411,43.0,41.0,1158.0,137.0,56:03,83.90410958904108,90.19607843137257,89.29471032745592
19,8466290,20052006,G,David Aebischer,2895:05,2.0,3.0,29.0,17.0,1324.0,300.0,64.0,960.0,73.0,1061.0,339.0,0.8988459999999999,3.0879939999999997,50.0,49.0,1473.0,149.0,57:54,88.49557522123894,87.67123287671231,90.48067860508955
20,8469658,20052006,G,Cristobal Huet,2102:59,4.0,7.0,18.0,11.0,1008.0,247.0,56.0,705.0,57.0,748.0,280.0,0.929032,2.196879,36.0,33.0,1085.0,77.0,58:24,88.2142857142857,98.24561403508771,94.2513368983957
21,8471186,20052006,G,Yann Danis,312:15,0.0,1.0,3.0,2.0,138.0,29.0,1.0,108.0,1.0,117.0,34.0,0.9078950000000001,2.690152,6.0,5.0,152.0,14.0,52:02,85.29411764705883,100.0,92.30769230769229
22,8447687,20052006,G,Dominik Hasek,2583:58,4.0,5.0,28.0,10.0,1112.0,277.0,53.0,755.0,55.0,804.0,316.0,0.925125,2.08981,43.0,42.0,1202.0,90.0,60:05,87.65822784810128,96.36363636363636,93.90547263681593
23,8467486,20052006,G,Mike Morrison,1098:47,3.0,0.0,11.0,4.0,403.0,93.0,19.0,291.0,21.0,323.0,113.0,0.8818379999999999,2.948716,25.0,18.0,457.0,54.0,43:57,82.3008849557522,90.4761904761905,90.09287925696594
24,8469548,20052006,G,Ray Emery,2167:39,4.0,3.0,23.0,11.0,943.0,197.0,48.0,698.0,56.0,762.0,227.0,0.902392,2.823334,39.0,38.0,1045.0,102.0,55:34,86.78414096916298,85.71428571428571,91.60104986876641
25,8445386,20052006,G,Ed Belfour,2896:53,4.0,0.0,22.0,22.0,1317.0,370.0,68.0,880.0,73.0,975.0,428.0,0.8922760000000001,3.293194,49.0,49.0,1476.0,159.0,59:07,86.44859813084112,93.15068493150685,90.25641025641028
26,8462102,20052006,G,Jean-Sebastien Aubin,677:24,2.0,1.0,9.0,0.0,305.0,66.0,10.0,229.0,10.0,245.0,75.0,0.924242,2.2143490000000003,11.0,11.0,330.0,25.0,61:34,88.0,100.0,93.46938775510205
27,8468550,20052006,G,Mikael Tellqvist,1398:43,2.0,2.0,10.0,11.0,624.0,145.0,32.0,447.0,35.0,486.0,176.0,0.895265,3.131442,25.0,22.0,697.0,73.0,55:56,82.38636363636364,91.42857142857143,91.97530864197529
28,8456137,20052006,G,Mike Dunham,779:20,2.0,1.0,8.0,5.0,300.0,66.0,13.0,221.0,15.0,243.0,78.0,0.892857,2.7716,17.0,13.0,336.0,36.0,45:50,84.61538461538461,86.66666666666669,90.94650205761316
