,ID,Position,FullName,Team,TOI,OT,SO,T,W,L,Saves,PPSaves,SHSaves,EVSaves,SHShots,EVShots,PPShots,SvPct,GAA,G,GS,ShotsAgainst,GoalsAgainst,TOIperGame,PPSvPct,SHSvPct,EVSvPct
0,8470645,G,Corey Crawford,New Jersey Devils,2340:03,3,1,0,16,20,1186,132,26,1028,29,1110,155,0.917,2.7692,40,39,1294,108,58:30,85.16129032258064,89.65517241379311,92.6126126126126
1,8478406,G,Mackenzie Blackwood,New Jersey Devils,2684:01,8,3,0,22,14,1328,160,36,1132,42,1225,185,0.915,2.772,47,43,1452,124,57:06,86.4864864864865,85.71428571428571,92.40816326530613
2,8473575,G,Semyon Varlamov,New York Islanders,2517:19,6,2,0,19,14,1168,147,23,998,26,1084,168,0.914,2.6218,45,39,1278,110,55:56,87.5,88.46153846153845,92.06642066420663
3,8480382,G,Alexandar Georgiev,New York Rangers,1891:44,2,2,0,17,14,967,175,27,765,29,837,197,0.91,3.0448,34,32,1063,96,55:38,88.83248730964468,93.10344827586206,91.39784946236557
4,8478048,G,Igor Shesterkin,New York Rangers,691:35,0,0,0,10,2,395,54,11,330,12,353,59,0.932,2.516,12,12,424,29,57:37,91.52542372881358,91.66666666666666,93.48441926345608
5,8470880,G,Brian Elliott,Philadelphia Flyers,1673:54,4,2,0,16,7,716,84,26,606,28,668,100,0.899,2.8676,31,27,796,80,53:59,84.0,92.85714285714286,90.71856287425148
6,8479312,G,Alex Lyon,Philadelphia Flyers,135:19,0,0,0,1,1,65,7,1,57,1,63,9,0.89,3.5472,3,2,73,8,45:06,77.7777777777778,100.0,90.4761904761905
7,8479394,G,Carter Hart,Philadelphia Flyers,2355:50,3,1,0,24,13,1005,107,43,855,45,929,126,0.914,2.4195,43,40,1100,95,54:47,84.92063492063492,95.55555555555556,92.03444564047363
8,8477465,G,Tristan Jarry,Pittsburgh Penguins,1926:29,1,3,0,20,12,907,114,24,769,25,828,132,0.9209999999999999,2.4293,33,31,985,78,58:22,86.36363636363636,96.0,92.8743961352657
9,8470860,G,Jaroslav Halak,Boston Bruins,1833:22,6,3,0,18,6,832,87,31,714,32,775,98,0.919,2.3890000000000002,31,29,905,73,59:08,88.77551020408163,96.875,92.12903225806451
10,8471695,G,Tuukka Rask,Boston Bruins,2401:47,6,5,0,26,8,1104,179,51,874,56,931,202,0.929,2.1234,41,41,1189,85,58:34,88.61386138613861,91.07142857142857,93.87755102040815
11,8476999,G,Linus Ullmark,Buffalo Sabres,2026:38,3,1,0,17,14,975,129,32,814,33,879,154,0.915,2.6941,34,34,1066,91,59:36,83.76623376623377,96.96969696969695,92.6052332195677
12,8475622,G,Carter Hutton,Buffalo Sabres,1775:26,4,2,0,12,14,824,102,18,704,24,772,122,0.898,3.1767,31,30,918,94,57:16,83.60655737704919,75.0,91.19170984455957
13,8471679,G,Carey Price,Montréal Canadiens,3439:49,6,4,0,27,25,1595,242,43,1310,45,1434,276,0.909,2.7908,58,58,1755,160,59:18,87.68115942028986,95.55555555555556,91.35285913528593
14,8474596,G,Jake Allen,Montréal Canadiens,1339:04,3,2,0,12,6,607,70,14,523,15,561,79,0.927,2.1508,24,21,655,48,55:47,88.60759493670885,93.33333333333331,93.22638146167557
15,8479292,G,Charlie Lindgren,Montréal Canadiens,360:51,0,0,0,2,4,158,28,7,123,8,138,32,0.888,3.3255,6,6,178,20,60:08,87.5,87.5,89.13043478260867
16,8480051,G,Cayden Primeau,Montréal Canadiens,119:06,0,0,0,1,1,67,13,2,52,3,55,14,0.9309999999999999,2.5189,2,2,72,5,59:33,92.85714285714286,66.66666666666666,94.54545454545456
17,8475195,G,Anders Nilsson,Ottawa Senators,1093:16,2,0,0,9,9,570,88,27,455,29,499,100,0.9079999999999999,3.1831,20,19,628,58,54:39,88.0,93.10344827586206,91.18236472945893
18,8476899,G,Matt Murray,Ottawa Senators,2237:30,5,1,0,20,11,948,111,34,803,37,891,127,0.899,2.8693,38,38,1055,107,58:52,87.40157480314959,91.8918918918919,90.12345679012344
19,8477405,G,Marcus Hogberg,Ottawa Senators,1344:33,8,0,0,5,8,658,73,13,572,14,625,89,0.904,3.1237,24,21,728,70,56:01,82.02247191011236,92.85714285714286,91.52
20,8474636,G,Michael Hutchinson,Toronto Maple Leafs,847:01,1,1,0,5,9,390,49,9,332,10,370,59,0.888,3.471,16,12,439,49,52:56,83.0508474576271,90.0,89.72972972972973
