,ID,FullName,Link,PosCode,PosName,PosType,PosAbbreviation,Team
0,8470645,Corey Crawford,/api/v1/people/8470645,G,Goalie,Goalie,G,New Jersey Devils
1,8471233,Travis Zajac,/api/v1/people/8471233,C,Center,Forward,C,New Jersey Devils
2,8474056,P.K. Subban,/api/v1/people/8474056,D,Defenseman,Defenseman,D,New Jersey Devils
3,8475151,Kyle Palmieri,/api/v1/people/8475151,R,Right Wing,Forward,RW,New Jersey Devils
4,8475179,Dmitry Kulikov,/api/v1/people/8475179,D,Defenseman,Defenseman,D,New Jersey Devils
5,8476850,Ryan Murray,/api/v1/people/8476850,D,Defenseman,Defenseman,D,New Jersey Devils
6,8476923,Damon Severson,/api/v1/people/8476923,D,Defenseman,Defenseman,D,New Jersey Devils
7,8476941,Connor Carrick,/api/v1/people/8476941,D,Defenseman,Defenseman,D,New Jersey Devils
8,8477038,Nikita Gusev,/api/v1/people/8477038,L,Left Wing,Forward,LW,New Jersey Devils
9,8477341,Andreas Johnsson,/api/v1/people/8477341,L,Left Wing,Forward,LW,New Jersey Devils
10,8477355,Will Butcher,/api/v1/people/8477355,D,Defenseman,Defenseman,D,New Jersey Devils
11,8477425,Miles Wood,/api/v1/people/8477425,L,Left Wing,Forward,LW,New Jersey Devils
12,8478401,Pavel Zacha,/api/v1/people/8478401,C,Center,Forward,C,New Jersey Devils
13,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils
14,8479407,Jesper Bratt,/api/v1/people/8479407,L,Left Wing,Forward,LW,New Jersey Devils
15,8479415,Michael McLeod,/api/v1/people/8479415,C,Center,Forward,C,New Jersey Devils
16,8480002,Nico Hischier,/api/v1/people/8480002,C,Center,Forward,C,New Jersey Devils
17,8481559,Jack Hughes,/api/v1/people/8481559,C,Center,Forward,C,New Jersey Devils
18,8477506,Ryan Pulock,/api/v1/people/8477506,D,Defenseman,Defenseman,D,New York Islanders
19,8470187,Johnny Boychuk,/api/v1/people/8470187,D,Defenseman,Defenseman,D,New York Islanders
20,8471217,Andrew Ladd,/api/v1/people/8471217,L,Left Wing,Forward,LW,New York Islanders
21,8473463,Leo Komarov,/api/v1/people/8473463,R,Right Wing,Forward,RW,New York Islanders
22,8473504,Cal Clutterbuck,/api/v1/people/8473504,R,Right Wing,Forward,RW,New York Islanders
23,8473575,Semyon Varlamov,/api/v1/people/8473575,G,Goalie,Goalie,G,New York Islanders
24,8474066,Thomas Hickey,/api/v1/people/8474066,D,Defenseman,Defenseman,D,New York Islanders
25,8474573,Josh Bailey,/api/v1/people/8474573,R,Right Wing,Forward,RW,New York Islanders
26,8474586,Jordan Eberle,/api/v1/people/8474586,R,Right Wing,Forward,RW,New York Islanders
27,8475181,Nick Leddy,/api/v1/people/8475181,D,Defenseman,Defenseman,D,New York Islanders
28,8475231,Casey Cizikas,/api/v1/people/8475231,C,Center,Forward,C,New York Islanders
29,8475314,Anders Lee,/api/v1/people/8475314,L,Left Wing,Forward,LW,New York Islanders
30,8475754,Brock Nelson,/api/v1/people/8475754,C,Center,Forward,C,New York Islanders
31,8476419,Jean-Gabriel Pageau,/api/v1/people/8476419,C,Center,Forward,C,New York Islanders
32,8476429,Scott Mayfield,/api/v1/people/8476429,D,Defenseman,Defenseman,D,New York Islanders
33,8476917,Adam Pelech,/api/v1/people/8476917,D,Defenseman,Defenseman,D,New York Islanders
34,8477527,Ross Johnston,/api/v1/people/8477527,L,Left Wing,Forward,LW,New York Islanders
35,8477936,Michael Dal Colle,/api/v1/people/8477936,L,Left Wing,Forward,LW,New York Islanders
36,8478445,Mathew Barzal,/api/v1/people/8478445,C,Center,Forward,C,New York Islanders
37,8478463,Anthony Beauvillier,/api/v1/people/8478463,L,Left Wing,Forward,LW,New York Islanders
38,8478512,Austin Czarnik,/api/v1/people/8478512,C,Center,Forward,C,New York Islanders
39,8480222,Sebastian Aho,/api/v1/people/8480222,D,Defenseman,Defenseman,D,New York Islanders
40,8480865,Noah Dobson,/api/v1/people/8480865,D,Defenseman,Defenseman,D,New York Islanders
41,8471677,Jack Johnson,/api/v1/people/8471677,D,Defenseman,Defenseman,D,New York Rangers
42,8476458,Ryan Strome,/api/v1/people/8476458,C,Center,Forward,C,New York Rangers
43,8476858,Phillip Di Giuseppe,/api/v1/people/8476858,L,Left Wing,Forward,LW,New York Rangers
44,8477950,Tony DeAngelo,/api/v1/people/8477950,D,Defenseman,Defenseman,D,New York Rangers
45,8477962,Brendan Lemieux,/api/v1/people/8477962,L,Left Wing,Forward,LW,New York Rangers
46,8480382,Alexandar Georgiev,/api/v1/people/8480382,G,Goalie,Goalie,G,New York Rangers
47,8474090,Brendan Smith,/api/v1/people/8474090,D,Defenseman,Defenseman,D,New York Rangers
48,8475184,Chris Kreider,/api/v1/people/8475184,L,Left Wing,Forward,LW,New York Rangers
49,8475868,Anthony Bitetto,/api/v1/people/8475868,D,Defenseman,Defenseman,D,New York Rangers
50,8476278,Colin Blackwell,/api/v1/people/8476278,C,Center,Forward,C,New York Rangers
51,8476459,Mika Zibanejad,/api/v1/people/8476459,C,Center,Forward,C,New York Rangers
52,8476885,Jacob Trouba,/api/v1/people/8476885,D,Defenseman,Defenseman,D,New York Rangers
53,8477402,Pavel Buchnevich,/api/v1/people/8477402,R,Right Wing,Forward,RW,New York Rangers
54,8478048,Igor Shesterkin,/api/v1/people/8478048,G,Goalie,Goalie,G,New York Rangers
55,8478550,Artemi Panarin,/api/v1/people/8478550,L,Left Wing,Forward,LW,New York Rangers
56,8479291,Kevin Rooney,/api/v1/people/8479291,C,Center,Forward,C,New York Rangers
57,8479323,Adam Fox,/api/v1/people/8479323,D,Defenseman,Defenseman,D,New York Rangers
58,8479324,Ryan Lindgren,/api/v1/people/8479324,D,Defenseman,Defenseman,D,New York Rangers
59,8479328,Julien Gauthier,/api/v1/people/8479328,R,Right Wing,Forward,RW,New York Rangers
60,8479353,Brett Howden,/api/v1/people/8479353,C,Center,Forward,C,New York Rangers
61,8480078,Filip Chytil,/api/v1/people/8480078,C,Center,Forward,C,New York Rangers
62,8481554,Kaapo Kakko,/api/v1/people/8481554,R,Right Wing,Forward,RW,New York Rangers
63,8477502,Samuel Morin,/api/v1/people/8477502,D,Defenseman,Defenseman,D,Philadelphia Flyers
64,8470880,Brian Elliott,/api/v1/people/8470880,G,Goalie,Goalie,G,Philadelphia Flyers
65,8471702,Matt Niskanen,/api/v1/people/8471702,D,Defenseman,Defenseman,D,Philadelphia Flyers
66,8473512,Claude Giroux,/api/v1/people/8473512,C,Center,Forward,C,Philadelphia Flyers
67,8474027,Justin Braun,/api/v1/people/8474027,D,Defenseman,Defenseman,D,Philadelphia Flyers
68,8474037,James van Riemsdyk,/api/v1/people/8474037,L,Left Wing,Forward,LW,Philadelphia Flyers
69,8474161,Jakub Voracek,/api/v1/people/8474161,R,Right Wing,Forward,RW,Philadelphia Flyers
70,8475763,Kevin Hayes,/api/v1/people/8475763,C,Center,Forward,C,Philadelphia Flyers
71,8476404,Andy Andreoff,/api/v1/people/8476404,C,Center,Forward,C,Philadelphia Flyers
72,8476461,Sean Couturier,/api/v1/people/8476461,C,Center,Forward,C,Philadelphia Flyers
73,8476872,Scott Laughton,/api/v1/people/8476872,C,Center,Forward,C,Philadelphia Flyers
74,8476884,Derrick Pouliot,/api/v1/people/8476884,D,Defenseman,Defenseman,D,Philadelphia Flyers
75,8476906,Shayne Gostisbehere,/api/v1/people/8476906,D,Defenseman,Defenseman,D,Philadelphia Flyers
76,8476979,Erik Gustafsson,/api/v1/people/8476979,D,Defenseman,Defenseman,D,Philadelphia Flyers
77,8477462,Robert Hagg,/api/v1/people/8477462,D,Defenseman,Defenseman,D,Philadelphia Flyers
78,8477948,Travis Sanheim,/api/v1/people/8477948,D,Defenseman,Defenseman,D,Philadelphia Flyers
79,8477979,Nicolas Aube-Kubel,/api/v1/people/8477979,R,Right Wing,Forward,RW,Philadelphia Flyers
80,8478017,Mark Friedman,/api/v1/people/8478017,D,Defenseman,Defenseman,D,Philadelphia Flyers
81,8478067,Oskar Lindblom,/api/v1/people/8478067,L,Left Wing,Forward,LW,Philadelphia Flyers
82,8478439,Travis Konecny,/api/v1/people/8478439,R,Right Wing,Forward,RW,Philadelphia Flyers
83,8478500,Ivan Provorov,/api/v1/people/8478500,D,Defenseman,Defenseman,D,Philadelphia Flyers
84,8479312,Alex Lyon,/api/v1/people/8479312,G,Goalie,Goalie,G,Philadelphia Flyers
85,8479382,Connor Bunnaman,/api/v1/people/8479382,C,Center,Forward,C,Philadelphia Flyers
86,8479394,Carter Hart,/api/v1/people/8479394,G,Goalie,Goalie,G,Philadelphia Flyers
87,8480028,Morgan Frost,/api/v1/people/8480028,C,Center,Forward,C,Philadelphia Flyers
88,8480797,Joel Farabee,/api/v1/people/8480797,L,Left Wing,Forward,LW,Philadelphia Flyers
89,8481178,Egor Zamula,/api/v1/people/8481178,D,Defenseman,Defenseman,D,Philadelphia Flyers
90,8478043,Sam Lafferty,/api/v1/people/8478043,C,Center,Forward,C,Pittsburgh Penguins
91,8478074,Anthony Angello,/api/v1/people/8478074,C,Center,Forward,C,Pittsburgh Penguins
92,8471215,Evgeni Malkin,/api/v1/people/8471215,C,Center,Forward,C,Pittsburgh Penguins
93,8471675,Sidney Crosby,/api/v1/people/8471675,C,Center,Forward,C,Pittsburgh Penguins
94,8471724,Kris Letang,/api/v1/people/8471724,D,Defenseman,Defenseman,D,Pittsburgh Penguins
95,8474098,Colton Sceviour,/api/v1/people/8474098,C,Center,Forward,C,Pittsburgh Penguins
96,8475208,Brian Dumoulin,/api/v1/people/8475208,D,Defenseman,Defenseman,D,Pittsburgh Penguins
97,8475722,Jason Zucker,/api/v1/people/8475722,L,Left Wing,Forward,LW,Pittsburgh Penguins
98,8475810,Bryan Rust,/api/v1/people/8475810,R,Right Wing,Forward,RW,Pittsburgh Penguins
99,8476873,Mark Jankowski,/api/v1/people/8476873,C,Center,Forward,C,Pittsburgh Penguins
100,8476875,Mike Matheson,/api/v1/people/8476875,D,Defenseman,Defenseman,D,Pittsburgh Penguins
101,8476879,Cody Ceci,/api/v1/people/8476879,D,Defenseman,Defenseman,D,Pittsburgh Penguins
102,8476927,Teddy Blueger,/api/v1/people/8476927,C,Center,Forward,C,Pittsburgh Penguins
103,8477244,Chad Ruhwedel,/api/v1/people/8477244,D,Defenseman,Defenseman,D,Pittsburgh Penguins
104,8477404,Jake Guentzel,/api/v1/people/8477404,L,Left Wing,Forward,LW,Pittsburgh Penguins
105,8477465,Tristan Jarry,/api/v1/people/8477465,G,Goalie,Goalie,G,Pittsburgh Penguins
106,8477953,Kasperi Kapanen,/api/v1/people/8477953,R,Right Wing,Forward,RW,Pittsburgh Penguins
107,8477955,Jared McCann,/api/v1/people/8477955,C,Center,Forward,C,Pittsburgh Penguins
108,8477969,Marcus Pettersson,/api/v1/people/8477969,D,Defenseman,Defenseman,D,Pittsburgh Penguins
109,8478507,John Marino,/api/v1/people/8478507,D,Defenseman,Defenseman,D,Pittsburgh Penguins
110,8478542,Evan Rodrigues,/api/v1/people/8478542,C,Center,Forward,C,Pittsburgh Penguins
111,8479293,Brandon Tanev,/api/v1/people/8479293,L,Left Wing,Forward,LW,Pittsburgh Penguins
112,8479944,Zach Aston-Reese,/api/v1/people/8479944,C,Center,Forward,C,Pittsburgh Penguins
113,8480945,Juuso Riikola,/api/v1/people/8480945,D,Defenseman,Defenseman,D,Pittsburgh Penguins
114,8476191,Kevan Miller,/api/v1/people/8476191,D,Defenseman,Defenseman,D,Boston Bruins
115,8470638,Patrice Bergeron,/api/v1/people/8470638,C,Center,Forward,C,Boston Bruins
116,8470860,Jaroslav Halak,/api/v1/people/8470860,G,Goalie,Goalie,G,Boston Bruins
117,8471276,David Krejci,/api/v1/people/8471276,C,Center,Forward,C,Boston Bruins
118,8471695,Tuukka Rask,/api/v1/people/8471695,G,Goalie,Goalie,G,Boston Bruins
119,8473419,Brad Marchand,/api/v1/people/8473419,L,Left Wing,Forward,LW,Boston Bruins
120,8475186,John Moore,/api/v1/people/8475186,D,Defenseman,Defenseman,D,Boston Bruins
121,8475225,Craig Smith,/api/v1/people/8475225,R,Right Wing,Forward,RW,Boston Bruins
122,8475735,Greg McKegg,/api/v1/people/8475735,C,Center,Forward,C,Boston Bruins
