,ID,Position,FullName,Link,FirstName,LastName,PrimaryNumber,BirthDate,CurrentAge,BirthCity,BirthProvState,BirthCountry,Nationality,Height,Weight,Active,AlternateCaptain,Captain,Rookie,ShootsCatches,RosterStatus
0,8470645,G,Corey Crawford,/api/v1/people/8470645,Corey,Crawford,50,1984-12-31,35,Montreal,QC,CAN,CAN,"6' 2""",216,True,False,False,False,L,Y
1,8471233,C,Travis Zajac,/api/v1/people/8471233,Travis,Zajac,19,1985-05-13,35,Winnipeg,MB,CAN,CAN,"6' 2""",185,True,True,False,False,R,Y
2,8474056,D,P.K. Subban,/api/v1/people/8474056,P.K.,Subban,76,1989-05-13,31,Toronto,ON,CAN,CAN,"6' 0""",210,True,False,False,False,R,Y
3,8475151,RW,Kyle Palmieri,/api/v1/people/8475151,Kyle,Palmieri,21,1991-02-01,29,Smithtown,NY,USA,USA,"5' 11""",185,True,True,False,False,R,Y
4,8475179,D,Dmitry Kulikov,/api/v1/people/8475179,Dmitry,Kulikov,7,1990-10-29,30,Lipetsk,,RUS,RUS,"6' 1""",204,True,False,False,False,L,Y
5,8476850,D,Ryan Murray,/api/v1/people/8476850,Ryan,Murray,22,1993-09-27,27,Regina,SK,CAN,CAN,"6' 1""",206,True,False,False,False,L,Y
6,8476923,D,Damon Severson,/api/v1/people/8476923,Damon,Severson,28,1994-08-07,26,Melville,SK,CAN,CAN,"6' 2""",205,True,False,False,False,R,Y
7,8476941,D,Connor Carrick,/api/v1/people/8476941,Connor,Carrick,5,1994-04-13,26,Orland Park,IL,USA,USA,"5' 11""",192,True,False,False,False,R,Y
8,8477038,LW,Nikita Gusev,/api/v1/people/8477038,Nikita,Gusev,97,1992-07-08,28,Moscow,,RUS,RUS,"5' 9""",163,True,False,False,False,R,Y
9,8477341,LW,Andreas Johnsson,/api/v1/people/8477341,Andreas,Johnsson,11,1994-11-21,26,Gävle,,SWE,SWE,"5' 10""",194,True,False,False,False,L,Y
10,8477355,D,Will Butcher,/api/v1/people/8477355,Will,Butcher,8,1995-01-06,25,Sun Prairie,WI,USA,USA,"5' 10""",190,True,False,False,False,L,Y
11,8477425,LW,Miles Wood,/api/v1/people/8477425,Miles,Wood,44,1995-09-13,25,Buffalo,NY,USA,USA,"6' 2""",195,True,False,False,False,L,Y
12,8478401,C,Pavel Zacha,/api/v1/people/8478401,Pavel,Zacha,37,1997-04-06,23,Brno,,CZE,CZE,"6' 3""",210,True,False,False,False,L,Y
13,8478406,G,Mackenzie Blackwood,/api/v1/people/8478406,Mackenzie,Blackwood,29,1996-12-09,24,Thunder Bay,ON,CAN,CAN,"6' 4""",225,True,False,False,True,L,Y
14,8479407,LW,Jesper Bratt,/api/v1/people/8479407,Jesper,Bratt,63,1998-07-30,22,Stockholm,,SWE,SWE,"5' 10""",175,True,False,False,False,L,Y
15,8479415,C,Michael McLeod,/api/v1/people/8479415,Michael,McLeod,41,1998-02-03,22,Mississauga,ON,CAN,CAN,"6' 2""",188,True,False,False,True,R,Y
16,8480002,C,Nico Hischier,/api/v1/people/8480002,Nico,Hischier,13,1999-01-04,21,Brig,,CHE,CHE,"6' 1""",175,True,True,False,False,L,Y
17,8481559,C,Jack Hughes,/api/v1/people/8481559,Jack,Hughes,86,2001-05-14,19,Orlando,FL,USA,USA,"5' 11""",170,True,False,False,True,L,Y
18,8477506,D,Ryan Pulock,/api/v1/people/8477506,Ryan,Pulock,6,1994-10-06,26,Dauphin,MB,CAN,CAN,"6' 2""",217,True,False,False,False,R,Y
19,8470187,D,Johnny Boychuk,/api/v1/people/8470187,Johnny,Boychuk,55,1984-01-19,36,Edmonton,AB,CAN,CAN,"6' 2""",227,True,False,False,False,R,Y
20,8471217,LW,Andrew Ladd,/api/v1/people/8471217,Andrew,Ladd,16,1985-12-12,35,Maple Ridge,BC,CAN,CAN,"6' 3""",192,True,False,False,False,L,Y
21,8473463,RW,Leo Komarov,/api/v1/people/8473463,Leo,Komarov,47,1987-01-23,33,Narva,,EST,FIN,"5' 11""",209,True,False,False,False,L,Y
22,8473504,RW,Cal Clutterbuck,/api/v1/people/8473504,Cal,Clutterbuck,15,1987-11-18,33,Welland,ON,CAN,CAN,"5' 11""",216,True,False,False,False,R,Y
23,8473575,G,Semyon Varlamov,/api/v1/people/8473575,Semyon,Varlamov,40,1988-04-27,32,Samara,,RUS,RUS,"6' 2""",205,True,False,False,False,L,Y
24,8474066,D,Thomas Hickey,/api/v1/people/8474066,Thomas,Hickey,34,1989-02-08,31,Calgary,AB,CAN,CAN,"6' 0""",183,True,False,False,False,L,Y
25,8474573,RW,Josh Bailey,/api/v1/people/8474573,Josh,Bailey,12,1989-10-02,31,Bowmanville,ON,CAN,CAN,"6' 1""",200,True,False,False,False,L,Y
26,8474586,RW,Jordan Eberle,/api/v1/people/8474586,Jordan,Eberle,7,1990-05-15,30,Regina,SK,CAN,CAN,"5' 11""",187,True,False,False,False,R,Y
27,8475181,D,Nick Leddy,/api/v1/people/8475181,Nick,Leddy,2,1991-03-20,29,Eden Prairie,MN,USA,USA,"6' 0""",207,True,False,False,False,L,Y
28,8475231,C,Casey Cizikas,/api/v1/people/8475231,Casey,Cizikas,53,1991-02-27,29,Toronto,ON,CAN,CAN,"5' 11""",195,True,False,False,False,L,Y
29,8475314,LW,Anders Lee,/api/v1/people/8475314,Anders,Lee,27,1990-07-03,30,Edina,MN,USA,USA,"6' 3""",231,True,False,True,False,L,Y
30,8475754,C,Brock Nelson,/api/v1/people/8475754,Brock,Nelson,29,1991-10-15,29,Warroad,MN,USA,USA,"6' 3""",212,True,False,False,False,L,Y
31,8476419,C,Jean-Gabriel Pageau,/api/v1/people/8476419,Jean-Gabriel,Pageau,44,1992-11-11,28,Ottawa,ON,CAN,CAN,"5' 10""",180,True,False,False,False,R,Y
32,8476429,D,Scott Mayfield,/api/v1/people/8476429,Scott,Mayfield,24,1992-10-14,28,St. Louis,MO,USA,USA,"6' 5""",223,True,False,False,False,R,Y
33,8476917,D,Adam Pelech,/api/v1/people/8476917,Adam,Pelech,3,1994-08-16,26,Toronto,ON,CAN,CAN,"6' 3""",218,True,False,False,False,L,Y
34,8477527,LW,Ross Johnston,/api/v1/people/8477527,Ross,Johnston,32,1994-02-18,26,Charlottetown,PE,CAN,CAN,"6' 5""",235,True,False,False,False,L,Y
35,8477936,LW,Michael Dal Colle,/api/v1/people/8477936,Michael,Dal Colle,28,1996-06-20,24,Woodbridge,ON,CAN,CAN,"6' 3""",204,True,False,False,False,L,Y
36,8478445,C,Mathew Barzal,/api/v1/people/8478445,Mathew,Barzal,13,1997-05-26,23,Coquitlam,BC,CAN,CAN,"6' 0""",187,True,False,False,False,R,Y
37,8478463,LW,Anthony Beauvillier,/api/v1/people/8478463,Anthony,Beauvillier,18,1997-06-08,23,Sorel-Tracy,QC,CAN,CAN,"5' 11""",182,True,False,False,False,L,Y
38,8478512,C,Austin Czarnik,/api/v1/people/8478512,Austin,Czarnik,27,1992-12-12,28,Detroit,MI,USA,USA,"5' 9""",170,True,False,False,False,R,Y
39,8480222,D,Sebastian Aho,/api/v1/people/8480222,Sebastian,Aho,38,1996-02-17,24,Umea,,SWE,SWE,"5' 11""",177,True,False,False,True,L,Y
40,8480865,D,Noah Dobson,/api/v1/people/8480865,Noah,Dobson,8,2000-01-07,20,Summerside,PE,CAN,CAN,"6' 4""",184,True,False,False,True,R,Y
41,8471677,D,Jack Johnson,/api/v1/people/8471677,Jack,Johnson,3,1987-01-13,33,Indianapolis,IN,USA,USA,"6' 1""",227,True,False,False,False,L,Y
42,8476458,C,Ryan Strome,/api/v1/people/8476458,Ryan,Strome,16,1993-07-11,27,Mississauga,ON,CAN,CAN,"6' 1""",193,True,False,False,False,R,Y
43,8476858,LW,Phillip Di Giuseppe,/api/v1/people/8476858,Phillip,Di Giuseppe,33,1993-10-09,27,Toronto,ON,CAN,CAN,"6' 0""",193,True,False,False,False,L,Y
44,8477950,D,Tony DeAngelo,/api/v1/people/8477950,Tony,DeAngelo,77,1995-10-24,25,Sewell,NJ,USA,USA,"5' 11""",180,True,False,False,False,R,Y
45,8477962,LW,Brendan Lemieux,/api/v1/people/8477962,Brendan,Lemieux,48,1996-03-15,24,Denver,CO,USA,USA,"6' 1""",213,True,False,False,False,L,Y
46,8480382,G,Alexandar Georgiev,/api/v1/people/8480382,Alexandar,Georgiev,40,1996-02-10,24,Ruse,,BGR,RUS,"6' 1""",178,True,False,False,False,L,Y
47,8474090,D,Brendan Smith,/api/v1/people/8474090,Brendan,Smith,42,1989-02-08,31,Mimico,ON,CAN,CAN,"6' 2""",200,True,False,False,False,L,Y
48,8475184,LW,Chris Kreider,/api/v1/people/8475184,Chris,Kreider,20,1991-04-30,29,Boxford,MA,USA,USA,"6' 3""",217,True,True,False,False,L,Y
49,8475868,D,Anthony Bitetto,/api/v1/people/8475868,Anthony,Bitetto,2,1990-07-15,30,Island Park,NY,USA,USA,"6' 1""",210,True,False,False,False,L,Y
50,8476278,C,Colin Blackwell,/api/v1/people/8476278,Colin,Blackwell,42,1993-03-28,27,Lawrence,MA,USA,USA,"5' 9""",190,True,False,False,False,R,Y
51,8476459,C,Mika Zibanejad,/api/v1/people/8476459,Mika,Zibanejad,93,1993-04-18,27,Huddinge,,SWE,SWE,"6' 2""",208,True,True,False,False,R,Y
52,8476885,D,Jacob Trouba,/api/v1/people/8476885,Jacob,Trouba,8,1994-02-26,26,Rochester,MI,USA,USA,"6' 3""",209,True,False,False,False,R,Y
53,8477402,RW,Pavel Buchnevich,/api/v1/people/8477402,Pavel,Buchnevich,89,1995-04-17,25,Cherepovets,,RUS,RUS,"6' 3""",197,True,False,False,False,L,Y
54,8478048,G,Igor Shesterkin,/api/v1/people/8478048,Igor,Shesterkin,31,1995-12-30,24,Moscow,,RUS,RUS,"6' 2""",182,True,False,False,True,L,Y
55,8478550,LW,Artemi Panarin,/api/v1/people/8478550,Artemi,Panarin,10,1991-10-30,29,Korkino,,RUS,RUS,"5' 11""",170,True,False,False,False,R,Y
56,8479291,C,Kevin Rooney,/api/v1/people/8479291,Kevin,Rooney,16,1993-05-21,27,Canton,MA,USA,USA,"6' 2""",190,True,False,False,False,L,Y
57,8479323,D,Adam Fox,/api/v1/people/8479323,Adam,Fox,23,1998-02-17,22,Jericho,NY,USA,USA,"5' 11""",181,True,False,False,True,R,Y
58,8479324,D,Ryan Lindgren,/api/v1/people/8479324,Ryan,Lindgren,55,1998-02-11,22,Burnsville,MN,USA,USA,"6' 0""",191,True,False,False,True,L,Y
59,8479328,RW,Julien Gauthier,/api/v1/people/8479328,Julien,Gauthier,12,1997-10-15,23,Pointe-aux-Trembles,QC,CAN,CAN,"6' 4""",227,True,False,False,True,R,Y
60,8479353,C,Brett Howden,/api/v1/people/8479353,Brett,Howden,21,1998-03-29,22,Calgary,AB,CAN,CAN,"6' 3""",197,True,False,False,False,L,Y
61,8480078,C,Filip Chytil,/api/v1/people/8480078,Filip,Chytil,72,1999-09-05,21,Kromeriz,,CZE,CZE,"6' 2""",206,True,False,False,False,L,Y
62,8481554,RW,Kaapo Kakko,/api/v1/people/8481554,Kaapo,Kakko,24,2001-02-13,19,Turku,,FIN,FIN,"6' 3""",199,True,False,False,True,L,Y
63,8477502,D,Samuel Morin,/api/v1/people/8477502,Samuel,Morin,55,1995-07-12,25,Lac-Beauport,QC,CAN,CAN,"6' 6""",202,True,False,False,True,L,I
64,8470880,G,Brian Elliott,/api/v1/people/8470880,Brian,Elliott,37,1985-04-09,35,Newmarket,ON,CAN,CAN,"6' 2""",209,True,False,False,False,L,Y
65,8471702,D,Matt Niskanen,/api/v1/people/8471702,Matt,Niskanen,15,1986-12-06,34,Virginia,MN,USA,USA,"6' 1""",203,True,False,False,False,R,Y
66,8473512,C,Claude Giroux,/api/v1/people/8473512,Claude,Giroux,28,1988-01-12,32,Hearst,ON,CAN,CAN,"5' 11""",185,True,False,True,False,R,Y
67,8474027,D,Justin Braun,/api/v1/people/8474027,Justin,Braun,61,1987-02-10,33,Minneapolis,MN,USA,USA,"6' 2""",205,True,False,False,False,R,Y
68,8474037,LW,James van Riemsdyk,/api/v1/people/8474037,James,van Riemsdyk,25,1989-05-04,31,Middletown,NJ,USA,USA,"6' 3""",217,True,False,False,False,L,Y
69,8474161,RW,Jakub Voracek,/api/v1/people/8474161,Jakub,Voracek,93,1989-08-15,31,Kladno,,CZE,CZE,"6' 2""",214,True,False,False,False,L,Y
70,8475763,C,Kevin Hayes,/api/v1/people/8475763,Kevin,Hayes,13,1992-05-08,28,Dorchester,MA,USA,USA,"6' 5""",216,True,False,False,False,L,Y
71,8476404,C,Andy Andreoff,/api/v1/people/8476404,Andy,Andreoff,10,1991-05-17,29,Pickering,ON,CAN,CAN,"6' 1""",203,True,False,False,False,L,Y
72,8476461,C,Sean Couturier,/api/v1/people/8476461,Sean,Couturier,14,1992-12-07,28,Phoenix,AZ,USA,CAN,"6' 3""",211,True,False,False,False,L,Y
73,8476872,C,Scott Laughton,/api/v1/people/8476872,Scott,Laughton,21,1994-05-30,26,Oakville,ON,CAN,CAN,"6' 1""",190,True,False,False,False,L,Y
74,8476884,D,Derrick Pouliot,/api/v1/people/8476884,Derrick,Pouliot,51,1994-01-16,26,Estevan,SK,CAN,CAN,"6' 0""",196,True,False,False,False,L,Y
75,8476906,D,Shayne Gostisbehere,/api/v1/people/8476906,Shayne,Gostisbehere,53,1993-04-20,27,Pembroke Pines,FL,USA,USA,"5' 11""",180,True,False,False,False,L,Y
76,8476979,D,Erik Gustafsson,/api/v1/people/8476979,Erik,Gustafsson,56,1992-03-14,28,Nynashamn,,SWE,SWE,"6' 0""",197,True,False,False,False,L,Y
77,8477462,D,Robert Hagg,/api/v1/people/8477462,Robert,Hagg,8,1995-02-08,25,Uppsala,,SWE,SWE,"6' 2""",204,True,False,False,False,L,Y
78,8477948,D,Travis Sanheim,/api/v1/people/8477948,Travis,Sanheim,6,1996-03-29,24,Elkhorn,MB,CAN,CAN,"6' 3""",181,True,False,False,False,L,Y
79,8477979,RW,Nicolas Aube-Kubel,/api/v1/people/8477979,Nicolas,Aube-Kubel,62,1996-05-10,24,Slave Lake,AB,CAN,CAN,"5' 11""",187,True,False,False,True,R,Y
80,8478017,D,Mark Friedman,/api/v1/people/8478017,Mark,Friedman,59,1995-12-25,24,Toronto,ON,CAN,CAN,"5' 11""",185,True,False,False,True,R,Y
81,8478067,LW,Oskar Lindblom,/api/v1/people/8478067,Oskar,Lindblom,23,1996-08-15,24,Gävle,,SWE,SWE,"6' 1""",191,True,False,False,False,L,Y
82,8478439,RW,Travis Konecny,/api/v1/people/8478439,Travis,Konecny,11,1997-03-11,23,London,ON,CAN,CAN,"5' 10""",175,True,False,False,False,R,Y
83,8478500,D,Ivan Provorov,/api/v1/people/8478500,Ivan,Provorov,9,1997-01-13,23,Yaroslavl,,RUS,RUS,"6' 1""",201,True,False,False,False,L,Y
84,8479312,G,Alex Lyon,/api/v1/people/8479312,Alex,Lyon,34,1992-12-09,28,Baudette,MN,USA,USA,"6' 1""",201,True,False,False,False,L,Y
85,8479382,C,Connor Bunnaman,/api/v1/people/8479382,Connor,Bunnaman,82,1998-04-16,22,Guelph,ON,CAN,CAN,"6' 1""",207,True,False,False,True,L,Y
86,8479394,G,Carter Hart,/api/v1/people/8479394,Carter,Hart,79,1998-08-13,22,Sherwood Park,AB,CAN,CAN,"6' 2""",181,True,False,False,False,L,Y
87,8480028,C,Morgan Frost,/api/v1/people/8480028,Morgan,Frost,48,1999-05-14,21,Aurora,ON,CAN,CAN,"5' 11""",170,True,False,False,True,L,Y
88,8480797,LW,Joel Farabee,/api/v1/people/8480797,Joel,Farabee,49,2000-02-25,20,Syracuse,NY,USA,USA,"6' 0""",164,True,False,False,True,L,Y
89,8481178,D,Egor Zamula,/api/v1/people/8481178,Egor,Zamula,54,2000-03-30,20,Chelyabinsk,,RUS,RUS,"6' 3""",177,True,False,False,True,L,Y
90,8478043,C,Sam Lafferty,/api/v1/people/8478043,Sam,Lafferty,18,1995-03-06,25,Hollidaysburg,PA,USA,USA,"6' 1""",195,True,False,False,True,R,Y
91,8478074,C,Anthony Angello,/api/v1/people/8478074,Anthony,Angello,57,1996-03-06,24,Albany,NY,USA,USA,"6' 5""",210,True,False,False,True,R,Y
92,8471215,C,Evgeni Malkin,/api/v1/people/8471215,Evgeni,Malkin,71,1986-07-31,34,Magnitogorsk,,RUS,RUS,"6' 3""",195,True,True,False,False,L,Y
93,8471675,C,Sidney Crosby,/api/v1/people/8471675,Sidney,Crosby,87,1987-08-07,33,Cole Harbour,NS,CAN,CAN,"5' 11""",200,True,False,True,False,L,Y
